Zone,CH Num,CH Name,RX Freq,TX Freq,RX TS,TX TS,RX CC,TX CC,Type,Power,Bandwidth,RX Only,Contact Name,RX Group Name,Scan List Name,Alarm,Prompt,PCT,MSG Type,TX Policy,EAS,TX Tone Type,TX Tone,RX Tone Type,RX Tone,APRS CH,Relay Monitor,Relay Mode
Mississipp,7,Amory, MS,438800000,438800000,ON,ON,1,1,DIGITAL,HIGH,12.5KHz,OFF,Amory, MS,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Mississipp,8,West Point,438800000,438800000,ON,ON,1,1,DIGITAL,HIGH,12.5KHz,OFF,West Point,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Mississipp,9,BM Parrot-,438800000,438800000,ON,ON,1,1,DIGITAL,HIGH,12.5KHz,OFF,BM Parrot-,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Mississipp,10,BM Disconn,438800000,438800000,ON,ON,1,1,DIGITAL,HIGH,12.5KHz,OFF,BM Disconn,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Mississipp,11,FDMR Missi,438800000,438800000,ON,ON,1,1,DIGITAL,HIGH,12.5KHz,OFF,FDMR Missi,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Mississipp,12,FDMR Disc,438800000,438800000,ON,ON,1,1,DIGITAL,HIGH,12.5KHz,OFF,FDMR Disc,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF

Simplex,1,2M Call,146520000,146520000,ON,ON,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,2,Simplex 14,146535000,146535000,ON,ON,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,3,Nat ARES S,146550000,146550000,ON,ON,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
